antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Water Bottle'}),"frozenset({'Notebook', 'Pen', 'Backpack'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Pen', 'Backpack'})","frozenset({'Notebook', 'Water Bottle'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Backpack'}),frozenset({'Water Bottle'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Water Bottle'}),frozenset({'Backpack'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Backpack'})","frozenset({'Water Bottle', 'Pen'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Water Bottle', 'Pen'})","frozenset({'Notebook', 'Backpack'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Water Bottle'})",frozenset({'Backpack'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Backpack'})",frozenset({'Water Bottle'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Water Bottle'}),"frozenset({'Notebook', 'Backpack'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Backpack'}),"frozenset({'Notebook', 'Water Bottle'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Water Bottle', 'Pen'})",frozenset({'Backpack'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Pen', 'Backpack'})",frozenset({'Water Bottle'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Water Bottle'}),"frozenset({'Pen', 'Backpack'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Backpack'}),"frozenset({'Water Bottle', 'Pen'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Water Bottle', 'Pen'})",frozenset({'Backpack'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Water Bottle'})","frozenset({'Pen', 'Backpack'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Pen', 'Backpack'})",frozenset({'Water Bottle'}),0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Backpack'}),"frozenset({'Notebook', 'Water Bottle', 'Pen'})",0.048,0.048,0.048,1.0,20.833333333333332,1.0,0.045696,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet'}),"frozenset({'Charger', 'Tablet Cover'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Tablet', 'Earphones', 'Charger'})",frozenset({'Tablet Cover'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Tablet', 'Charger'})","frozenset({'Earphones', 'Tablet Cover'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Tablet', 'Earphones'})","frozenset({'Charger', 'Tablet Cover'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Earphones', 'Charger', 'Tablet Cover'})",frozenset({'Tablet'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
